geneA	geneB	p-Value	Log Odds Ratio	Association
RB1	RBL1	0.6116583161682073	-Infinity	Tendency towards mutual exclusivity
RB1	RBL2	0.8130286825474664	-Infinity	Tendency towards mutual exclusivity
RB1	CCNA1	0.12837465564737582	2.772588722239781	Tendency towards co-occurrence
RB1	CCNB1	0.0661157024793399	Infinity	Tendency towards co-occurrence
RB1	CDK1	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RB1	CCNE1	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RB1	CDK2	0.8716253443525519	-Infinity	Tendency towards mutual exclusivity
RB1	CDC25A	0.8716253443525519	-Infinity	Tendency towards mutual exclusivity
RB1	CCND1	0.8716253443525519	-Infinity	Tendency towards mutual exclusivity
RB1	CDK4	0.6573897790593761	-Infinity	Tendency towards mutual exclusivity
RB1	CDK6	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RB1	CCND2	0.7579080939000985	-Infinity	Tendency towards mutual exclusivity
RB1	CDKN2A	0.5285448480003265	-0.5260930958967791	Tendency towards mutual exclusivity
RB1	CDKN2B	1	Infinity	Tendency towards co-occurrence
RB1	MYC	0.8716253443525519	-Infinity	Tendency towards mutual exclusivity
RB1	CDKN1A	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RB1	CDKN1B	1	Infinity	Tendency towards co-occurrence
RB1	E2F1	0.7579080939000985	-Infinity	Tendency towards mutual exclusivity
RB1	E2F2	1	Infinity	Tendency towards co-occurrence
RB1	E2F3	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RB1	E2F4	0.8716253443525519	-Infinity	Tendency towards mutual exclusivity
RB1	E2F5	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RB1	E2F6	0.12837465564737582	2.772588722239781	Tendency towards co-occurrence
RB1	E2F7	0.6573897790593761	-Infinity	Tendency towards mutual exclusivity
RB1	E2F8	0.7579080939000985	-Infinity	Tendency towards mutual exclusivity
RB1	SRC	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RB1	JAK1	0.06822144359427866	1.9740810260220096	Tendency towards co-occurrence
RB1	JAK2	0.29391468175117397	1.3591433720539399	Tendency towards co-occurrence
RB1	STAT1	0.0038567493112945652	Infinity	Tendency towards co-occurrence(Significant)
RB1	STAT2	0.7579080939000985	-Infinity	Tendency towards mutual exclusivity
RB1	STAT3	0.8130286825474664	-Infinity	Tendency towards mutual exclusivity
RB1	STAT5A	0.8716253443525519	-Infinity	Tendency towards mutual exclusivity
RB1	STAT5B	0.9338842975206478	-Infinity	Tendency towards mutual exclusivity
RBL1	RBL2	0.8350024307244328	-Infinity	Tendency towards mutual exclusivity
RBL1	CCNA1	0.8871900826445543	-Infinity	Tendency towards mutual exclusivity
