geneA	geneB	p-Value	Log Odds Ratio	Association
RB1	RBL1	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RB1	RBL2	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RB1	CCNA1	1	Infinity	Tendency towards co-occurrence
RB1	CCNB1	1	Infinity	Tendency towards co-occurrence
RB1	CDK1	1	Infinity	Tendency towards co-occurrence
RB1	CCNE1	1	Infinity	Tendency towards co-occurrence
RB1	CDK2	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RB1	CDC25A	1	Infinity	Tendency towards co-occurrence
RB1	CCND1	0.9200000000000014	-Infinity	Tendency towards mutual exclusivity
RB1	CDK4	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RB1	CDK6	1	Infinity	Tendency towards co-occurrence
RB1	CCND2	1	Infinity	Tendency towards co-occurrence
RB1	CDKN2A	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RB1	CDKN2B	1	Infinity	Tendency towards co-occurrence
RB1	MYC	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RB1	CDKN1A	1	Infinity	Tendency towards co-occurrence
RB1	CDKN1B	1	Infinity	Tendency towards co-occurrence
RB1	E2F1	0.9200000000000014	-Infinity	Tendency towards mutual exclusivity
RB1	E2F2	1	Infinity	Tendency towards co-occurrence
RB1	E2F3	1	Infinity	Tendency towards co-occurrence
RB1	E2F4	1	Infinity	Tendency towards co-occurrence
RB1	E2F5	1	Infinity	Tendency towards co-occurrence
RB1	E2F6	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RB1	E2F7	1	Infinity	Tendency towards co-occurrence
RB1	E2F8	1	Infinity	Tendency towards co-occurrence
RB1	SRC	1	Infinity	Tendency towards co-occurrence
RB1	JAK1	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RB1	JAK2	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RB1	STAT1	1	Infinity	Tendency towards co-occurrence
RB1	STAT2	1	Infinity	Tendency towards co-occurrence
RB1	STAT3	1	Infinity	Tendency towards co-occurrence
RB1	STAT5A	1	Infinity	Tendency towards co-occurrence
RB1	STAT5B	1	Infinity	Tendency towards co-occurrence
RBL1	RBL2	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RBL1	CCNA1	1	Infinity	Tendency towards co-occurrence
RBL1	CCNB1	1	Infinity	Tendency towards co-occurrence
RBL1	CDK1	1	Infinity	Tendency towards co-occurrence
RBL1	CCNE1	1	Infinity	Tendency towards co-occurrence
RBL1	CDK2	0.12000000000000076	Infinity	Tendency towards co-occurrence
RBL1	CDC25A	1	Infinity	Tendency towards co-occurrence
RBL1	CCND1	0.2300000000000035	2.3513752571634776	Tendency towards co-occurrence
RBL1	CDK4	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RBL1	CDK6	1	Infinity	Tendency towards co-occurrence
RBL1	CCND2	1	Infinity	Tendency towards co-occurrence
RBL1	CDKN2A	0.6695652173913098	-Infinity	Tendency towards mutual exclusivity
RBL1	CDKN2B	1	Infinity	Tendency towards co-occurrence
RBL1	MYC	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RBL1	CDKN1A	1	Infinity	Tendency towards co-occurrence
RBL1	CDKN1B	1	Infinity	Tendency towards co-occurrence
RBL1	E2F1	0.2300000000000035	2.3513752571634776	Tendency towards co-occurrence
RBL1	E2F2	1	Infinity	Tendency towards co-occurrence
RBL1	E2F3	1	Infinity	Tendency towards co-occurrence
RBL1	E2F4	1	Infinity	Tendency towards co-occurrence
RBL1	E2F5	1	Infinity	Tendency towards co-occurrence
RBL1	E2F6	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F7	1	Infinity	Tendency towards co-occurrence
RBL1	E2F8	1	Infinity	Tendency towards co-occurrence
RBL1	SRC	1	Infinity	Tendency towards co-occurrence
RBL1	JAK1	0.12000000000000076	Infinity	Tendency towards co-occurrence
RBL1	JAK2	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RBL1	STAT1	1	Infinity	Tendency towards co-occurrence
RBL1	STAT2	1	Infinity	Tendency towards co-occurrence
RBL1	STAT3	1	Infinity	Tendency towards co-occurrence
RBL1	STAT5A	1	Infinity	Tendency towards co-occurrence
RBL1	STAT5B	1	Infinity	Tendency towards co-occurrence
RBL2	CCNA1	1	Infinity	Tendency towards co-occurrence
RBL2	CCNB1	1	Infinity	Tendency towards co-occurrence
RBL2	CDK1	1	Infinity	Tendency towards co-occurrence
RBL2	CCNE1	1	Infinity	Tendency towards co-occurrence
RBL2	CDK2	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RBL2	CDC25A	1	Infinity	Tendency towards co-occurrence
RBL2	CCND1	0.9200000000000014	-Infinity	Tendency towards mutual exclusivity
RBL2	CDK4	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RBL2	CDK6	1	Infinity	Tendency towards co-occurrence
RBL2	CCND2	1	Infinity	Tendency towards co-occurrence
RBL2	CDKN2A	0.8800000000000171	-Infinity	Tendency towards mutual exclusivity
RBL2	CDKN2B	1	Infinity	Tendency towards co-occurrence
RBL2	MYC	0.04000000000000035	Infinity	Tendency towards co-occurrence(Significant)
RBL2	CDKN1A	1	Infinity	Tendency towards co-occurrence
RBL2	CDKN1B	1	Infinity	Tendency towards co-occurrence
RBL2	E2F1	0.9200000000000014	-Infinity	Tendency towards mutual exclusivity
RBL2	E2F2	1	Infinity	Tendency towards co-occurrence
RBL2	E2F3	1	Infinity	Tendency towards co-occurrence
RBL2	E2F4	1	Infinity	Tendency towards co-occurrence
RBL2	E2F5	1	Infinity	Tendency towards co-occurrence
RBL2	E2F6	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RBL2	E2F7	1	Infinity	Tendency towards co-occurrence
RBL2	E2F8	1	Infinity	Tendency towards co-occurrence
RBL2	SRC	1	Infinity	Tendency towards co-occurrence
RBL2	JAK1	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RBL2	JAK2	0.9600000000000114	-Infinity	Tendency towards mutual exclusivity
RBL2	STAT1	1	Infinity	Tendency towards co-occurrence
RBL2	STAT2	1	Infinity	Tendency towards co-occurrence
RBL2	STAT3	1	Infinity	Tendency towards co-occurrence
RBL2	STAT5A	1	Infinity	Tendency towards co-occurrence
RBL2	STAT5B	1	Infinity	Tendency towards co-occurrence
CCNA1	CCNB1	1	Infinity	Tendency towards co-occurrence
CCNA1	CDK1	1	Infinity	Tendency towards co-occurrence
CCNA1	CCNE1	1	Infinity	Tendency towards co-occurrence
CCNA1	CDK2	1	Infinity	Tendency towards co-occurrence
CCNA1	CDC25A	1	Infinity	Tendency towards co-occurrence
CCNA1	CCND1	1	Infinity	Tendency towards co-occurrence
CCNA1	CDK4	1	Infinity	Tendency towards co-occurrence
CCNA1	CDK6	1	Infinity	Tendency towards co-occurrence
CCNA1	CCND2	1	Infinity	Tendency towards co-occurrence
CCNA1	CDKN2A	1	Infinity	Tendency towards co-occurrence
CCNA1	CDKN2B	1	Infinity	Tendency towards co-occurrence
CCNA1	MYC	1	Infinity	Tendency towards co-occurrence
CCNA1	CDKN1A	1	Infinity	Tendency towards co-occurrence
CCNA1	CDKN1B	1	Infinity	Tendency towards co-occurrence
CCNA1	E2F1	1	Infinity	Tendency towards co-occurrence
CCNA1	E2F2	1	Infinity	Tendency towards co-occurrence
CCNA1	E2F3	1	Infinity	Tendency towards co-occurrence
CCNA1	E2F4	1	Infinity	Tendency towards co-occurrence
CCNA1	E2F5	1	Infinity	Tendency towards co-occurrence
CCNA1	E2F6	1	Infinity	Tendency towards co-occurrence
CCNA1	E2F7	1	Infinity	Tendency towards co-occurrence
