geneA	geneB	p-Value	Log Odds Ratio	Association
RB1	RBL1	0.4442243218015892	-Infinity	Tendency towards mutual exclusivity
RB1	RBL2	0.3450925773970062	1.019148117313863	Tendency towards co-occurrence
RB1	CCNA1	0.45984249772101965	0.5985312041850962	Tendency towards co-occurrence
RB1	CCNB1	0.9113082039916336	-Infinity	Tendency towards mutual exclusivity
RB1	CDK1	0.7203594358619229	-Infinity	Tendency towards mutual exclusivity
RB1	CCNE1	0.6869141763397448	-Infinity	Tendency towards mutual exclusivity
RB1	CDK2	0.8697397595988237	-Infinity	Tendency towards mutual exclusivity
RB1	CDC25A	0.06946607220044386	1.799306674863438	Tendency towards co-occurrence
RB1	CCND1	0.6171181639364871	0.1119179162039854	Tendency towards co-occurrence
RB1	CDK4	0.38288183606405546	-Infinity	Tendency towards mutual exclusivity
RB1	CDK6	0.7918038397680017	-Infinity	Tendency towards mutual exclusivity
RB1	CCND2	0.6549074226037497	-Infinity	Tendency towards mutual exclusivity
RB1	CDKN2A	0.0060212286662415125	-2.2798111683454936	Tendency towards mutual exclusivity(Significant)
RB1	CDKN2B	0.05977815171079712	-1.6858108912186744	Tendency towards mutual exclusivity
RB1	MYC	0.261935447493081	0.8368539012261204	Tendency towards co-occurrence
RB1	CDKN1A	0.5771642566560773	0.23095609105100337	Tendency towards co-occurrence
RB1	CDKN1B	0.8697397595988237	-Infinity	Tendency towards mutual exclusivity
RB1	E2F1	0.37571774464074076	0.8975985988620026	Tendency towards co-occurrence
RB1	E2F2	0.37571774464074076	0.8975985988620026	Tendency towards co-occurrence
RB1	E2F3	0.6171181639364871	0.1119179162039854	Tendency towards co-occurrence
RB1	E2F4	0.17007227165067623	2.0185998824235907	Tendency towards co-occurrence
RB1	E2F5	0.45984249772101965	0.5985312041850962	Tendency towards co-occurrence
RB1	E2F6	0.9113082039916336	-Infinity	Tendency towards mutual exclusivity
RB1	E2F7	0.5669592104081914	-Infinity	Tendency towards mutual exclusivity
RB1	E2F8	0.49002818246441254	-Infinity	Tendency towards mutual exclusivity
RB1	SRC	0.7553022443178142	-Infinity	Tendency towards mutual exclusivity
RB1	JAK1	0.5949838101619771	-Infinity	Tendency towards mutual exclusivity
RB1	JAK2	0.4442243218015892	-Infinity	Tendency towards mutual exclusivity
RB1	STAT1	0.8299277283494394	-Infinity	Tendency towards mutual exclusivity
RB1	STAT2	0.7203594358619229	-Infinity	Tendency towards mutual exclusivity
RB1	STAT3	0.6242822553595021	-Infinity	Tendency towards mutual exclusivity
RB1	STAT5A	0.17007227165067623	2.0185998824235907	Tendency towards co-occurrence
RB1	STAT5B	0.7553022443178142	-Infinity	Tendency towards mutual exclusivity
RBL1	RBL2	0.4274210886030645	0.7163142398414797	Tendency towards co-occurrence
RBL1	CCNA1	0.034216623292755745	1.717651497074333	Tendency towards co-occurrence(Significant)
RBL1	CCNB1	0.8848468604568674	-Infinity	Tendency towards mutual exclusivity
RBL1	CDK1	0.6491432467181428	-Infinity	Tendency towards mutual exclusivity
RBL1	CCNE1	0.6097309781674134	-Infinity	Tendency towards mutual exclusivity
RBL1	CDK2	0.8320665214116909	-Infinity	Tendency towards mutual exclusivity
RBL1	CDC25A	0.5375650930744108	-Infinity	Tendency towards mutual exclusivity
RBL1	CCND1	0.6645927795234179	-0.19157476227443776	Tendency towards mutual exclusivity
RBL1	CDK4	0.335407220477329	0.6241543090729939	Tendency towards co-occurrence
RBL1	CDK6	0.7352688558666309	-Infinity	Tendency towards mutual exclusivity
RBL1	CCND2	0.5725789113975603	-Infinity	Tendency towards mutual exclusivity
RBL1	CDKN2A	0.018137246010835134	1.2195648990857721	Tendency towards co-occurrence(Significant)
RBL1	CDKN2B	0.09729282254199326	0.7830035096818064	Tendency towards co-occurrence
RBL1	MYC	0.3810194301207151	0.5108256237659907	Tendency towards co-occurrence
RBL1	CDKN1A	0.3217026741156377	-Infinity	Tendency towards mutual exclusivity
RBL1	CDKN1B	0.8320665214116909	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F1	0.0014411435544073774	2.605534637576615	Tendency towards co-occurrence(Significant)
RBL1	E2F2	0.5375650930744108	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F3	0.6645927795234179	-0.19157476227443776	Tendency towards mutual exclusivity
RBL1	E2F4	0.21774027740508844	1.7160476474923585	Tendency towards co-occurrence
RBL1	E2F5	0.5557756781992809	0.2954642128938359	Tendency towards co-occurrence
RBL1	E2F6	0.8848468604568674	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F7	0.4734949166489579	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F8	0.6092830862820043	0.13353139262452257	Tendency towards co-occurrence
RBL1	SRC	0.00011965338858309422	3.719184803609265	Tendency towards co-occurrence(Significant)
RBL1	JAK1	0.5045737335717755	-Infinity	Tendency towards mutual exclusivity
RBL1	JAK2	0.2660541369384954	0.8183103235139513	Tendency towards co-occurrence
RBL1	STAT1	0.7822597225954246	-Infinity	Tendency towards mutual exclusivity
RBL1	STAT2	0.3508567532820525	1.0116009116784799	Tendency towards co-occurrence
RBL1	STAT3	0.4624349069257017	0.5947071077466928	Tendency towards co-occurrence
RBL1	STAT5A	0.7822597225954246	-Infinity	Tendency towards mutual exclusivity
RBL1	STAT5B	0.6909441376052812	-Infinity	Tendency towards mutual exclusivity
RBL2	CCNA1	0.6549074226037497	-Infinity	Tendency towards mutual exclusivity
RBL2	CCNB1	0.9381594015741271	-Infinity	Tendency towards mutual exclusivity
RBL2	CDK1	0.798170111620611	-Infinity	Tendency towards mutual exclusivity
RBL2	CCNE1	0.7725146437470191	-Infinity	Tendency towards mutual exclusivity
RBL2	CDK2	0.9085333152078919	-Infinity	Tendency towards mutual exclusivity
RBL2	CDC25A	0.7233921066415625	-Infinity	Tendency towards mutual exclusivity
RBL2	CCND1	0.4829909685260978	0.5329475408532613	Tendency towards co-occurrence
RBL2	CDK4	0.4829909685260978	0.5329475408532613	Tendency towards co-occurrence
RBL2	CDK6	0.851764113135336	-Infinity	Tendency towards mutual exclusivity
RBL2	CCND2	0.7475948165294367	-Infinity	Tendency towards mutual exclusivity
RBL2	CDKN2A	0.5982453580128692	0.05195973893071096	Tendency towards co-occurrence
RBL2	CDKN2B	0.1922269186503628	-1.2594026092652668	Tendency towards mutual exclusivity
RBL2	MYC	0.48267861846921456	-Infinity	Tendency towards mutual exclusivity
RBL2	CDKN1A	0.5534929476840872	-Infinity	Tendency towards mutual exclusivity
RBL2	CDKN1B	0.9085333152078919	-Infinity	Tendency towards mutual exclusivity
