geneA	geneB	p-Value	Log Odds Ratio	Association
RB1	RBL1	1	Infinity	Tendency towards co-occurrence
RB1	RBL2	1	Infinity	Tendency towards co-occurrence
RB1	CCNA1	1	Infinity	Tendency towards co-occurrence
RB1	CCNB1	1	Infinity	Tendency towards co-occurrence
RB1	CDK1	1	Infinity	Tendency towards co-occurrence
RB1	CCNE1	1	Infinity	Tendency towards co-occurrence
RB1	CDK2	1	Infinity	Tendency towards co-occurrence
RB1	CDC25A	1	Infinity	Tendency towards co-occurrence
RB1	CCND1	1	Infinity	Tendency towards co-occurrence
RB1	CDK4	1	Infinity	Tendency towards co-occurrence
RB1	CDK6	1	Infinity	Tendency towards co-occurrence
RB1	CCND2	0.9999999999998863	Infinity	Tendency towards co-occurrence
RB1	CDKN2A	1	Infinity	Tendency towards co-occurrence
RB1	CDKN2B	1	Infinity	Tendency towards co-occurrence
RB1	MYC	1	Infinity	Tendency towards co-occurrence
RB1	CDKN1A	1	Infinity	Tendency towards co-occurrence
RB1	CDKN1B	1	Infinity	Tendency towards co-occurrence
RB1	E2F1	1.0000000000001137	Infinity	Tendency towards co-occurrence
RB1	E2F2	1	Infinity	Tendency towards co-occurrence
RB1	E2F3	1	Infinity	Tendency towards co-occurrence
RB1	E2F4	1	Infinity	Tendency towards co-occurrence
RB1	E2F5	1	Infinity	Tendency towards co-occurrence
RB1	E2F6	1	Infinity	Tendency towards co-occurrence
RB1	E2F7	1	Infinity	Tendency towards co-occurrence
RB1	E2F8	1	Infinity	Tendency towards co-occurrence
RB1	SRC	1	Infinity	Tendency towards co-occurrence
RB1	JAK1	1	Infinity	Tendency towards co-occurrence
RB1	JAK2	1	Infinity	Tendency towards co-occurrence
RB1	STAT1	1	Infinity	Tendency towards co-occurrence
RB1	STAT2	1	Infinity	Tendency towards co-occurrence
RB1	STAT3	1	Infinity	Tendency towards co-occurrence
RB1	STAT5A	1	Infinity	Tendency towards co-occurrence
RB1	STAT5B	1	Infinity	Tendency towards co-occurrence
RBL1	RBL2	0.9032884718278591	-Infinity	Tendency towards mutual exclusivity
RBL1	CCNA1	0.9032884718278591	-Infinity	Tendency towards mutual exclusivity
RBL1	CCNB1	1	Infinity	Tendency towards co-occurrence
RBL1	CDK1	1	Infinity	Tendency towards co-occurrence
RBL1	CCNE1	0.9347985347984524	-Infinity	Tendency towards mutual exclusivity
RBL1	CDK2	1	Infinity	Tendency towards co-occurrence
RBL1	CDC25A	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL1	CCND1	1	Infinity	Tendency towards co-occurrence
RBL1	CDK4	1	Infinity	Tendency towards co-occurrence
RBL1	CDK6	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL1	CCND2	0.8724945466517775	-Infinity	Tendency towards mutual exclusivity
RBL1	CDKN2A	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL1	CDKN2B	1	Infinity	Tendency towards co-occurrence
RBL1	MYC	1	Infinity	Tendency towards co-occurrence
RBL1	CDKN1A	1	Infinity	Tendency towards co-occurrence
RBL1	CDKN1B	1	Infinity	Tendency towards co-occurrence
RBL1	E2F1	0.842408527801906	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F2	1	Infinity	Tendency towards co-occurrence
RBL1	E2F3	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F4	1	Infinity	Tendency towards co-occurrence
RBL1	E2F5	1	Infinity	Tendency towards co-occurrence
RBL1	E2F6	1	Infinity	Tendency towards co-occurrence
RBL1	E2F7	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL1	E2F8	0.03296703296703284	Infinity	Tendency towards co-occurrence(Significant)
RBL1	SRC	0.9347985347984524	-Infinity	Tendency towards mutual exclusivity
RBL1	JAK1	1	Infinity	Tendency towards co-occurrence
RBL1	JAK2	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL1	STAT1	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL1	STAT2	1	Infinity	Tendency towards co-occurrence
RBL1	STAT3	1	Infinity	Tendency towards co-occurrence
RBL1	STAT5A	0.9347985347984524	-Infinity	Tendency towards mutual exclusivity
RBL1	STAT5B	0.9347985347984524	-Infinity	Tendency towards mutual exclusivity
RBL2	CCNA1	0.9032884718278591	-Infinity	Tendency towards mutual exclusivity
RBL2	CCNB1	1	Infinity	Tendency towards co-occurrence
RBL2	CDK1	1	Infinity	Tendency towards co-occurrence
RBL2	CCNE1	0.0007326007326007	Infinity	Tendency towards co-occurrence(Significant)
RBL2	CDK2	1	Infinity	Tendency towards co-occurrence
RBL2	CDC25A	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL2	CCND1	1	Infinity	Tendency towards co-occurrence
RBL2	CDK4	1	Infinity	Tendency towards co-occurrence
RBL2	CDK6	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL2	CCND2	0.8724945466517775	-Infinity	Tendency towards mutual exclusivity
RBL2	CDKN2A	0.9670329670330484	-Infinity	Tendency towards mutual exclusivity
RBL2	CDKN2B	1	Infinity	Tendency towards co-occurrence
RBL2	MYC	1	Infinity	Tendency towards co-occurrence
RBL2	CDKN1A	1	Infinity	Tendency towards co-occurrence
RBL2	CDKN1B	1	Infinity	Tendency towards co-occurrence
RBL2	E2F1	0.842408527801906	-Infinity	Tendency towards mutual exclusivity
RBL2	E2F2	1	Infinity	Tendency towards co-occurrence
